THIRD-SEAT ONBOARDING 20260703-161320 (PACKET-017)
STAGE 0: mistral:7b installed, confirmed before any run.
seat=mistral:7b  audience=llama3.1:8b (cross-family, stated)  armed-lesson byte check=True
stage 1: 40 tasks x R=6
s1 max_index rep 0: ev=0.25 passed=False
s1 max_index rep 1: ev=0.25 passed=False
s1 max_index rep 2: ev=0.25 passed=False
s1 max_index rep 3: ev=0.25 passed=False
s1 max_index rep 4: ev=0.25 passed=False
s1 max_index rep 5: ev=0.25 passed=False
s1 shortest_word rep 0: ev=1.00 passed=True
s1 shortest_word rep 1: ev=0.50 passed=False
s1 shortest_word rep 2: ev=0.50 passed=False
s1 shortest_word rep 3: ev=1.00 passed=True
s1 shortest_word rep 4: ev=0.75 passed=False
s1 shortest_word rep 5: ev=0.75 passed=False
s1 count_unique rep 0: ev=1.00 passed=True
s1 count_unique rep 1: ev=1.00 passed=True
s1 count_unique rep 2: ev=1.00 passed=True
s1 count_unique rep 3: ev=1.00 passed=True
s1 count_unique rep 4: ev=1.00 passed=True
s1 count_unique rep 5: ev=1.00 passed=True
s1 sum_distinct rep 0: ev=1.00 passed=True
s1 sum_distinct rep 1: ev=1.00 passed=True
s1 sum_distinct rep 2: ev=1.00 passed=True
s1 sum_distinct rep 3: ev=1.00 passed=True
s1 sum_distinct rep 4: ev=1.00 passed=True
s1 sum_distinct rep 5: ev=1.00 passed=True
s1 average rep 0: ev=1.00 passed=True
s1 average rep 1: ev=1.00 passed=True
s1 average rep 2: ev=1.00 passed=True
s1 average rep 3: ev=1.00 passed=True
s1 average rep 4: ev=1.00 passed=True
s1 average rep 5: ev=0.50 passed=False
s1 chunk rep 0: ev=0.75 passed=False
s1 chunk rep 1: ev=1.00 passed=True
s1 chunk rep 2: ev=1.00 passed=True
s1 chunk rep 3: ev=1.00 passed=True
s1 chunk rep 4: ev=1.00 passed=True
s1 chunk rep 5: ev=1.00 passed=True
s1 count_word rep 0: ev=1.00 passed=True
s1 count_word rep 1: ev=1.00 passed=True
s1 count_word rep 2: ev=1.00 passed=True
s1 count_word rep 3: ev=1.00 passed=True
s1 count_word rep 4: ev=1.00 passed=True
s1 count_word rep 5: ev=1.00 passed=True
s1 equal_ignoring_spaces rep 0: ev=1.00 passed=True
s1 equal_ignoring_spaces rep 1: ev=1.00 passed=True
s1 equal_ignoring_spaces rep 2: ev=0.25 passed=False
s1 equal_ignoring_spaces rep 3: ev=0.50 passed=False
s1 equal_ignoring_spaces rep 4: ev=1.00 passed=True
s1 equal_ignoring_spaces rep 5: ev=1.00 passed=True
s1 count_distinct_pairs rep 0: ev=0.25 passed=False
s1 count_distinct_pairs rep 1: ev=0.25 passed=False
s1 count_distinct_pairs rep 2: ev=0.75 passed=False
s1 count_distinct_pairs rep 3: ev=1.00 passed=True
s1 count_distinct_pairs rep 4: ev=1.00 passed=True
s1 count_distinct_pairs rep 5: ev=0.25 passed=False
s1 sum_of_modes rep 0: ev=0.00 passed=False
s1 sum_of_modes rep 1: ev=0.50 passed=False
s1 sum_of_modes rep 2: ev=0.00 passed=False
s1 sum_of_modes rep 3: ev=0.25 passed=False
s1 sum_of_modes rep 4: ev=1.00 passed=True
s1 sum_of_modes rep 5: ev=0.50 passed=False
s1 weighted_mean rep 0: ev=1.00 passed=True
s1 weighted_mean rep 1: ev=1.00 passed=True
s1 weighted_mean rep 2: ev=1.00 passed=True
s1 weighted_mean rep 3: ev=1.00 passed=True
s1 weighted_mean rep 4: ev=0.75 passed=False
s1 weighted_mean rep 5: ev=1.00 passed=True
s1 range_step rep 0: ev=1.00 passed=True
s1 range_step rep 1: ev=0.75 passed=False
s1 range_step rep 2: ev=1.00 passed=True
s1 range_step rep 3: ev=1.00 passed=True
s1 range_step rep 4: ev=1.00 passed=True
s1 range_step rep 5: ev=1.00 passed=True
s1 title_words rep 0: ev=1.00 passed=True
s1 title_words rep 1: ev=1.00 passed=True
s1 title_words rep 2: ev=1.00 passed=True
s1 title_words rep 3: ev=0.00 passed=False
s1 title_words rep 4: ev=1.00 passed=True
s1 title_words rep 5: ev=1.00 passed=True
s1 count_token rep 0: ev=0.25 passed=False
s1 count_token rep 1: ev=0.75 passed=False
s1 count_token rep 2: ev=0.00 passed=False
s1 count_token rep 3: ev=0.75 passed=False
s1 count_token rep 4: ev=0.50 passed=False
s1 count_token rep 5: ev=0.50 passed=False
s1 longest_run_char rep 0: ev=0.25 passed=False
s1 longest_run_char rep 1: ev=0.50 passed=False
s1 longest_run_char rep 2: ev=0.00 passed=False
s1 longest_run_char rep 3: ev=1.00 passed=True
s1 longest_run_char rep 4: ev=0.75 passed=False
s1 longest_run_char rep 5: ev=0.75 passed=False
s1 least_frequent_word rep 0: ev=0.00 passed=False
s1 least_frequent_word rep 1: ev=0.50 passed=False
s1 least_frequent_word rep 2: ev=0.25 passed=False
s1 least_frequent_word rep 3: ev=0.25 passed=False
s1 least_frequent_word rep 4: ev=0.50 passed=False
s1 least_frequent_word rep 5: ev=1.00 passed=True
